FS_Key_Code,FS_Key_Description,FS_Key_Manufacturer,FS_Key_Dimensions,FS_Key_Thickness,FS_Key_Product_Style,FS_Key_Color_Finish,FS_Key_Substrate,FS_Key_Notes_Location,FS_Key_Unit_Cost,FS_Key_Link,FS_Key_Dropbox_Location,FS_Key_Contact
_ACT-02,K-13 ACOUSTIC SPRAY,INTERNATIONAL CELLULOSE CORPORATION OR SIMILAR,NA,"1""",K-13 SPRAY-ON SYSTEMS,BLACK,TBD,HIGH CEILING OVER DINING AREAS,,,,"International Cellulose
12315 Robin Blvd.
Houston, TX  77045, USA
713-433-6701"
_CT-03,PORCELAIN FLOOR TILE,PORCELANOSA,"39"" X 118""","1/8""",CONCRETE BLACK NATURE,"PRODUCT CODE:
C226500661-100128410","INTERIOR GLASS-MAT, WATER RESISTANT TILE BACKING BOARD","GROUT: MAPEI KERAPOXY 10-BLACK;
1/16"" GROUT JOINTS MAX",,,,"3400 North Powerline Road
Pompano Beach, FL  33069
954-968-7666"
_CT-03,"PORCELAIN FLOOR TILE
(RAISED PLATFORMS)","CEASAR CERAMICS USA, INC.",,,ABSOLUTE,DARK MOON NATURAL,CONCRETE SLAB,"GROUT: MAPEI KERAPOXY
SEAL ALL 1/8"" GROUT JOINTS MAX
",,,,"Ceasar Ceramics USA, INC.
Eatontown, NJ
732.389.5757"
_CT-08,"PORCELAIN FLOOR TILE
(OUTDOOR TERRACE FLOOR)",GREAT LAKES DISTRIBUTION,"6"" X 36""","3/8""",ERGON - WOOD TALK,GREY PEPPER,CONCRETE SLAB,"GROUT: MAPEI KERAPOXY 07 - CHOCOLATE;
1/8"" GROUT JOINTS MAX

VENDOR PRICING QUOTE: $6.50 / SF",,,,"Nicole Grieco
314 West Superior Street, Suite 100
Chicago, IL  60654
312-506-2880
ngrieco@transceramica.com"
_CT-08,"PORCELAIN FLOOR TILE
(BATHROOM FLOOR TILE)",DALTILE,"24"" X 24""","3/8""","VOUGEBAY STEEL GREY
","COLOR: STEEL GREY
FINISH: STREAM",CONCRETE SLAB,"GROUT: MAPEI KERAPOXY
SEAL ALL 1/8"" GROUT JOINTS MAX
",,,,"Jamie Pass
Daltile
630-776-0338
jamie.pass@daltile.com"
_FRP-01,FIBER REINFORCED PLASTIC,CRANE COMPOSITES,"48"" x 96""",".09""","GLASBORD FX /
PEBBLED SURFACE",85 / WHITE,INTERIOR GLASS-MAT GYP.BD.,"SILICONE SEALANT AT ALL SEAMS; PROVIDE INSIDE CORNERS, OUTSIDE CORNERS +  OTHER  ACCESSORIES AS REQ'D; CLASS A RATED",,,,"MIKE POST
CRANE COMPOSITES
815.274.9125"
_GL-02,CLEAR TEMPERED GLASS,VARIES,SEE DWGS.,"3/8""","TEMPERED
(NO VISIBLE LOGO)","LOW IRON, CLEAR",N/A,"TOP OF EXPO COUNTER MILLWORK
TOP OF HOST STAND & ADJACENT BOOTHS",,,,
_MP-01,INSULATED FLAT MTL PANEL,CENTRIA (OR EQUIVALENT),SEE DWGS.,"1""",,CHARCOAL,,PROVIDE ALT PRICING FOR INSULATED BREAK METAL FLASHING - PROVIDE SAMPLES FOR DESIGNER APPROVAL,,,,
_MTL-01,"BRAKE METAL PANELS
(DARK COLOR @ CANOPY)","ALCOA ARCHITECTURAL PRODUCTS 
(OR EQUIVALENT)",SEE DWGS.,,"REYNOBOND
(OR EQUIVALENT)","TBD
COLORWELD 500",,EXTERIOR CANOPY FASCIA,,,,
_MTL-03,HOT-ROLLED STEEL,VARIES,SEE DWGS.,,ARCHITECTURAL,CLEAR SATIN FINISH TO PREVENT OXIDIZATION,,FOR USE IN DECORATIVE MILLWORK AND WALL BASE,,,,
_MTL-06,COPPER PIPING,VARIES,SEE DWGS.,,,COPPER,,DINING ROOM SCREENS,,,,
_SC-01,HAND TROWELED ARTISAN STUCCO,NASS FRESCO FINISHES OR EQUIVALENT,N/A,N/A,,SIM. TO FRESCO CONC FRC-10-05-010,AS PER MANUFACTURER,MATCH CONC-01 - PROVIDE SAMPLES FOR DESIGNER APPROVAL,,,,
_SC-01 ALT,BOARD FORM VENEER,2STONE,"72"" X 6""","1/2""",DESIGNER CONCRETE,STANDARD GREY,AS PER MANUFACTURER,,,,,
_VP-01,VENETIAN PLASTER,NASS FRESCO FINISHES OR EQUIVALENT,N/A,N/A,FRESCO CONC,SIM. FRC-11-04-024,AS PER MANUFACTURER,MATCH CONC-01 - PROVIDE SAMPLES FOR DESIGNER APPROVAL,,,,
_WD-02,ENGINEERED WOOD FLOORING,"HAKWOOD 
(OR EQUIVALENT)","7"" PLANKS","5/8""",DP EUROPEAN OAK,"RUSTIC MB (MICRO BEVEL)
TRIPLE SMOKED/FUMED, NATURAL OIL",,EXTERIOR & INTERIOR PERIMETER SOFFIT CLADDING,,,,"Alain Mannien
Hakwood
Leemansstraat 2
4251 LD Werkendam
The Netherlands
mannien.a@hakwood.com"
ACM-01,COMPOSITE METAL PANELS,ALPOLIC (ALTERNATES: REYNOBOND OR ALUCOBOND),SEE DWGS.,4mm,ROUT AND RETURN WET SEAL SYSTEM,FR QUARTZ-ZINC,VARIES - SEE DWGS,FOR USE AT FACADE,,http://www.alpolic-americas.com/en/acm-panels/polyethylene-core,16006 Doc B's Coral Gables\INFORMATION\PRODUCTS\07 - Thermal and Moisture Protection\074000 - Roofing and Siding Panels\Alpolic,"Dave Kearney
Mitsubishi Plastics
Composites America, Inc.
ALPOLIC Materials
dave_kearney@m-chem.com"
ACT-01,ACOUSTICAL CEILING TILE,ARMSTRONG,"24"" x 48""","3/4""",HEALTH ZONE / ULTIMA BEVELED TEGULAR #1936,WHITE / DURA BRITE,"9/16"" SUSPENSION GRID",FOR USE AT BACK OF HOUSE; MEETS USDA / FSIS GUIDELINES; CLASS A; SMOKE DEVELOPED <450,,,,"Fred Weidner
1-877-276-7876, Option 8, Ext. 3161
fwweidner@armstrong.com"
ACT-02,ACOUSTICAL CEILING PANELS,ARMSTRONG,"30"" x 120""","3/4""",SOUNDSOAK,EMBOSSED COMPOSED AND WOVENS,SOUNDSOAK,IN BETWEEN WOOD BEAMS,,https://www.armstrongceilings.com/content/dam/armstrongceilings/commercial/north-america/brochures/soundsoak-acoustical-wall-systems-brochure.pdf,,
CONC-01,BOARD FORMED CONCRETE,CAST IN PLACE,SEE DWGS,VARIES,FITZGERALD PATTERN#16020,CONCRETE,NA,"PLANTERS AT MAIN ENTRANCE, PATIO ENTRANCE NORTH BOOTHS, CRESCENT MOON BOOTHS",,http://formliners.com/catalog/?pattern=16020,,
CT-01,"PORCELAIN WALL TILE
(LARGE FORMAT WHITE MARBLE)",TRANSCERAMICA,"SEE DWGS
60"" X 120""",6mm,MAXIMUM,"CALACATTA MARBLE / POLISHED
","INTERIOR GLASS-MAT, WATER RESISTANT TILE BACKING BOARD","GROUT: MAPEI KERAPOXY
SEAL ALL 1/16"" GROUT JOINTS MAX - TIGHT MITER FOLD SEQUENCE MATCH, TYP.
",,,,"Nicole Grieco
314 West Superior Street, Suite 100
Chicago, IL  60654
312-506-2880
ngrieco@transceramica.com"
CT-02,"PORCELAIN FLOOR TILE
(MAIN FLOOR TILE)",DALTILE,"24"" X 24""","3/8""","VOUGEBAY CHARCOAL
ITEM CODE: DS-CC3030S","COLOR: CHARCOAL
FINISH: STREAM",CONCRETE SLAB,"GROUT: MAPEI KERAPOXY 10-BLACK; SEAL ALL 1/8"" GROUT JOINTS MAX
",,,,"Jamie Pass
Daltile
630-776-0338
jamie.pass@daltile.com"
CT-04,"WALL TILE
(WOMEN'S RESTROOM WALLS)",TRANSCERAMICA/IRIS,"8""x24""
(NOMINAL)","1/4""",CRACKLED GLAZED CERAMIC,MAIOLICA NERO / MATTE,"INTERIOR GLASS-MAT, WATER-RESISTANT TILE BACKING BOARD","GROUT: MAPEI KERAPOXY 10-BLACK;
BUTT JOINT TILES TO ALIGN WITH FLOOR TILE",,,,"Nicole Grieco
314 West Superior Street, Suite 100
Chicago, IL  60654
312-506-2880
ngrieco@transceramica.com"
CT-05,"WALL TILE
(MEN'S RESTROOM WALLS)",TRANSCERAMICA/IRIS,"8""x24""
(NOMINAL)","1/4""",CRACKLED GLAZED CERAMIC,MAIOLICA GRIGIO / MATTE,"INTERIOR GLASS-MAT, WATER-RESISTANT TILE BACKING BOARD","GROUT: MAPEI KERAPOXY
SEAL ALL BUTT JOINT TILES TO ALIGN WITH FLOOR TILES",,,,"Nicole Grieco
314 West Superior Street, Suite 100
Chicago, IL  60654
312-506-2880
ngrieco@transceramica.com"
CT-06,"WALL TILE
(BAR DIEWALL)",UNICOM  ICON,12X12 MESH,"1/4""",JET BLACK STRIP,BLACK,"INTERIOR GLASS-MAT, WATER-RESISTANT TILE BACKING BOARD","GROUT: MAPEI KERAPOXY
SEAL ALL 1/8"" GROUT JOINTS MAX",,,,"Frank Palumbo
312.860.1904
fpalumbo@platformsurfaces.com"
CT-07,WALL TILE (KITCHEN HOOD CLADDING),STONE SOURCE,12 X 12 MESH,"3/8""",GLAZED BASALT MOSAIC,LAVA BATTER / GLOSSY FINISH,"INTERIOR GLASS-MAT, WATER-RESISTANT TILE BACKING BOARD",,,,,"Ira Harth
312.237.4032
iharth@stonesource.com"
